0.1934		341.43	2.901909
0.0728		317.7	2.235082
0.1982		343.23	2.944476
0.0969		155.06	0.70851
0.0613		219.24	1.200899
0.0737		181.48	0.893157
0.1309		224.9	1.356642
0.138		251.89	1.647516
0.1141		398.12	3.393306
0.2742		516.87	6.344215
0.0194		54.1	0.115577
0.217		440.8	4.543361
0.199		450.79	4.608741
0.153		687.6	8.707393
0.0726		215.39	1.181329
0.105		431.37	3.829575
0.111		178.89	0.910497
0.0586		117.36	0.429646
0.141		96.89	0.345098
0.19		319.61	2.593058
0.127		309.2	2.276006
0.069		186.47	0.928838
0.0984		184.12	0.940691
0.0559		79.45	0.225924
0.229		204.2	1.305728
0.061		176.03	0.83757
0.1846		407.61	3.838378
0.13		62.98	0.168025
0.0286		31.26	0.047485
0.1797		331.17	2.714065
0.0661		161.95	0.734662
0.1599		344.55	2.827248
0.0951		279.49	1.858113
0.094		361.39	2.828545
0.0508		523.5	4.946943
0.133		349.95	2.808276
0.0146		26.01	0.034601
0.2112		475.95	5.115258
0.062		130.91	0.515919
0.157		101.08	0.377075
0.27		152.2	0.84968
0.147		447.28	4.270501
0.0589		455.79	3.977333
0.0423		64	0.156089
0.0157		213.6	1.094716
0.0989		196.99	1.051539
0.1805		434.28	4.237381
0.0322		43.48	0.081904
0.075		200.15	1.050267
0.148		348.03	2.833308
0.098		458.9	4.204419
0.048		299.39	1.972425
0.36		141.2	0.845525
0.0602		109.91	0.386497
0.338		70.31	0.261702
0.466		106.24	0.612216
0.0369		43.21	0.08148
0.198		55.6	0.148731
0.076		304.99	2.097956
0.297		126.58	0.6504
0.019		168.12	0.741785
0.2786		517.35	6.390161
0.076		184.07	0.916499
0.062		296.29	1.969423
0.061		168.96	0.783054
0.0599		17.34	0.018689
0.057		134.69	0.537529
0.0556		516.96	4.871933
0.0824		265.04	1.678567
0.0355		49.61	0.102021
0.138		256.82	1.700758
0.054		128.55	0.496316
0.0277		40.58	0.072779
0.094		80.73	0.242112
0.2965		1035.99	20.425901
0.0148		6.52	0.003581
0.0853		243.68	1.467361
0.232		439.6	4.609207
0.365		121.36	0.664022
0.0385		50.65	0.105898
0.118		133.6	0.568739
0.0791		177.24	0.864427
0.06		147.48	0.62587
0.0464		69.87	0.181068
0.251		451.64	4.935834
0.139		300.97	2.208812
0.0447		68.06	0.173097
0.102		43.74	0.089432
0.2952		772.38	12.598125
0.0506		239.89	1.375477
0.0516		77.2	0.214478
0.155		398.4	3.56629
0.1644		581.64	6.709122
0.3		809.35	13.687554
0.074		225.9	1.279395
0.2266		687.71	9.536792
0.04		63.76	0.154759
0.057		148.95	0.633984
0.0619		91.58	0.28708
0.0514		216.12	1.160127
0.059		365.13	2.76492
0.039		110.92	0.383258
0.0797		119.66	0.454206
0.1168		288.8	2.010759
0.1383		238.26	1.50448
0.3432		683.71	10.98696
0.0965		339.88	2.565193
0.1074		178.95	0.907222
0.0505		157.71	0.691313
0.0511		94.66	0.299464
0.074		66.29	0.171321
0.125		292.64	2.074725
0.0624		207.86	1.101682
0.174		89.4	0.314678
0.102		154.32	0.707165
0.136		123.27	0.509129
0.1069		250.13	1.57021
0.0491		132.27	0.517256
0.1065		248.5	1.5527
0.194		33.73	0.065218
0.0696		95.45	0.309916
0.206		84.67	0.299471
0.0966		440.06	3.918665
0.1496		285.27	2.048744
0.2371		496.94	5.672293
0.0796		161.43	0.742068
0.1448		296.03	2.164603
0.0901		52.77	0.120017
0.0553		84.1	0.247827
0.067		37.08	0.065549
0.0711		87.3	0.268194
0.0912		164.83	0.778067
0.227		378.94	3.590285
0.097		127.56	0.514478
0.243		126.92	0.609373
0.1873		276.38	2.036335
0.2026		382.11	3.530143
0.152		484.03	4.890162
0.0097		13.74	0.012086
0.1709		272.25	1.947197
0.1254		257.66	1.684553
0.074		335.58	2.44841
0.064		100.75	0.336548
0.1164		241.18	1.495635
0.2665		483.55	5.631362
0.113		125.21	0.508347
0.0515		66.95	0.169791
0.1913		380.05	3.450361
0.115		207.01	1.162194
0.036		35.16	0.058044
0.032		75.49	0.202347
0.056		123.96	0.468575
0.131		76.35	0.230712
0.0868		107.54	0.384329
0.118		213.5	1.226852
0.135		86.44	0.284145
0.0593		137.64	0.558388
0.058		266.28	1.645635
0.0238		71.03	0.181484
0.0698		120.15	0.452149
0.0718		197.92	1.027456
0.0671		21.55	0.02691
0.0511		51.67	0.110946
0.2		464.83	4.852497
0.1253		249.26	1.595205
0.213		162.98	0.884178
0.408		47.27	0.149877
0.0616		73.66	0.200834
0.1501		323.82	2.523686
0.3475		1183.28	27.166569
0.1637		328.82	2.630717
0.2836		613.19	8.499136
0.0752		439.48	3.815928
0.062		172.55	0.811447
0.288		75.72	0.276745
0.085		168.74	0.802854
0.0487		83.73	0.244269
0.149		74.45	0.226144
0.376		108.56	0.561344
0.0876		45.01	0.092198
0.158		86.94	0.294843
0.0774		185.85	0.932548
0.1128		185.73	0.970285
0.185		141.87	0.680264
0.049		124.83	0.470315
0.323		109.83	0.533139
0.0564		282.61	1.811143
0.209		81.29	0.28117
0.224		103.29	0.424316
0.155		345.47	2.822864
0.045		244.03	1.405897
0.2195		525.28	6.076038
0.0894		258.63	1.625536
0.1759		435.33	4.230388
0.1496		303.02	2.261972
0.0643		142.38	0.593611
0.1651		411.99	3.814294
0.0519		98.74	0.321234
0.0114		162.18	0.693664
0.0603		126.99	0.489851
0.0192		28.04	0.039326
0.0495		90	0.275212
0.686		257.14	3.541152
0.1694		297.74	2.250919
0.642		299.96	4.28722
0.0358		122.12	0.447219
