      ,      ,      ,      ,          ,
     z,    TX,  e_TX,  E_TX,      L500,L500 Corrected
------,------,------,------,----------,----------
0.63,-99,-99,-99,-99,
0.73,3.50,0.7,1,1.41323,
0.4,3.50,0.2,0.2,1.70369,
0.56,3.50,1.2,1.6,0.897833,
0.11,3.50,0.7,1,0.768829,
0.88,3.50,0.6,0.8,1.08583,
0.29,3.50,0.3,0.3,1.60745,
0.49,3.50,0.9,1.9,0.606239,
0.33,3.50,0.3,0.3,1.1703,
0.06,3.50,0.4,0.6,0.611602,
0.14,3.54,0.03,0.03,8.21616,
-99,-99,-99,-99,-99,
1.05,3.60,0.2,0.3,3.37113,
-99,-99,-99,-99,-99,
0.84,3.60,0.8,1.4,1.62718,
0.32,3.60,0.5,0.8,1.44017,
0.15,-99,-99,-99,-99,
0.41,3.60,0.5,0.7,0.665995,
0.58,3.60,0.6,1.1,1.47628,
0.56,3.60,0.8,1.2,4.28576,
0.49,3.70,1.4,3.2,0.209553,
0.14,3.70,0.3,0.4,0.379336,
0.48,3.70,1.3,2.6,0.488011,
0.69,3.70,0.8,1.1,0.700678,
0.45,3.70,0.8,1.1,1.2486,
0.45,3.70,0.9,1.4,2.63776,
0.4,3.70,0.2,0.2,3.17188,
0.24,3.80,0.5,0.7,0.512797,
0.2,3.80,1.2,3.9,0.65468,
-99,-99,-99,-99,-99,
0.25,-99,-99,-99,-99,
0.64,-99,-99,-99,-99,
0.09,3.80,1.1,2.3,0.191997,
0.53,-99,-99,-99,-99,
-99,-99,-99,-99,-99,
0.21,3.80,0.9,1.3,0.819008,
0.81,3.90,0.6,0.7,1.09882,
0.49,3.90,0.4,0.6,2.58004,
0.23,3.90,0.3,0.5,1.64565,
0.47,3.90,1.5,2.9,0.558898,
0.42,3.90,1,1.7,2.23756,
0.24,3.90,0.4,0.4,9.64118,
0.2,3.90,1.4,3.8,0.050723,
0.25,3.90,1,2,0.938699,
0.3,3.90,0.8,1.3,1.29054,
0.6,3.90,0.7,0.8,0.665253,
0.22,3.90,0.8,1.3,0.771289,
0.58,4.00,1.4,2.6,1.06983,
0.41,4.00,0.6,0.6,0.805965,
0.93,4.00,1.5,2.3,0.554592,
0.23,4.00,0.8,1.1,1.50057,
0.32,4.10,1.7,3.2,0.435456,
0.26,4.10,1.5,2,0.881699,
0.25,4.10,1.2,2.6,0.55011,
0.65,4.10,0.9,0.9,1.95469,
0.53,4.10,1.1,1.5,3.17637,
0.38,4.10,1.4,4.3,1.15687,
0.24,-99,-99,-99,-99,
0.38,-99,-99,-99,-99,
0.6,4.10,0.7,1,1.37105,
0.34,4.10,0.8,1.1,1.94417,
0.3,4.10,1.2,1.7,0.419139,
0.65,4.20,1.1,1.8,0.706,
0.57,4.20,0.6,0.6,1.01254,
0.55,4.20,0.7,0.7,2.46855,
0.49,4.20,1.6,2.8,1.41423,
0.35,4.30,1.6,3.9,1.0247,
0.59,4.30,1.3,2.3,2.3734,
0.2,4.30,0.5,0.6,2.69642,
0.43,-99,-99,-99,-99,
0.43,4.30,0.9,1.2,1.40013,
1.46,4.30,1.2,3.2,6.75539,
0.43,4.40,0.5,0.6,2.94012,
0.43,4.40,0.5,0.6,5.8245,
0.55,4.50,2.6,4.7,1.24395,
0.14,4.50,0.1,0.1,2.15706,
0.61,4.50,0.8,1,3.19261,
0.44,4.50,0.1,0.1,10.2319,
0.43,4.50,0.6,0.8,2.69258,
0.41,4.60,1.2,2.7,0.792206,
0.41,4.60,1,1.6,0.367316,
0.34,4.60,0.8,1.2,0.868252,
0.32,4.70,2.1,7,0.696187,
0.4,4.70,1.3,2.4,1.20932,
0.37,4.70,0.5,0.7,2.58962,
0.54,4.70,1,2,0.663482,
0.5,4.70,0.5,1.2,1.39204,
0.25,4.70,1.6,7.3,0.070082,
0.29,4.70,1.3,2.4,0.708657,
0.21,4.80,0.3,0.3,2.46146,
0.5,4.80,0.3,0.4,3.77118,
0.41,4.90,0.8,0.8,0.909104,
0.44,4.90,0.9,1.4,1.74675,
0.21,4.90,1.2,1.8,1.09415,
0.45,5.00,0.9,0.8,0.655058,
0.62,5.10,0.6,0.6,3.95032,
1,5.10,2.5,5.2,1.45475,
0.16,5.20,0.2,0.3,1.27591,
0.6,5.20,1,1.2,2.71324,
0.28,5.20,2.1,8.5,0.527313,
0.15,-99,-99,-99,-99,
-99,-99,-99,-99,-99,
-99,-99,-99,-99,-99,
0.22,5.30,2.5,5.3,1.64508,
-99,-99,-99,-99,-99,
0.21,-99,-99,-99,-99,
0.24,-99,-99,-99,-99,
0.35,5.30,2.2,4.7,0.430118,
0.64,5.30,1.6,3,2.45883,
0.49,5.40,1.7,3.4,1.60598,
0.47,5.40,0.9,1.3,1.21868,
0.47,5.40,0.9,1.5,21.312,
0.36,-99,-99,-99,-99,
0.44,5.40,1.8,2.6,0.639981,
0.11,5.40,0.7,0.7,5.59785,
0.92,5.40,0.3,0.3,7.10991,
0.12,5.40,0.1,0.1,4.29941,
0.47,5.50,0.5,0.6,2.73138,
0.41,5.50,0.7,1,2.05488,
0.27,5.50,2.5,6.7,0.401733,
1.24,5.50,0.4,0.5,3.7155,
0.64,5.60,1.1,1.8,3.2269,
0.91,5.60,1.3,2.1,3.39844,
0.65,5.60,0.4,0.5,6.84398,
0.56,5.60,0.5,0.7,5.14615,
0.48,5.60,0.7,0.8,1.17397,
0.55,5.60,1.3,1.8,2.09258,
0.36,5.70,1.7,5.4,1.00181,
0.59,5.70,1.4,2.1,1.73636,
0.21,5.70,0.7,1.1,0.839136,
1.13,5.70,0.6,0.8,1.54927,
0.43,5.80,0.4,0.4,2.82947,
-99,-99,-99,-99,-99,
-99,-99,-99,-99,-99,
0.52,5.80,1,1.5,3.2145,
0.37,5.80,2.2,8.7,0.33752,
0.39,5.80,2.2,7,0.262626,
-99,-99,-99,-99,-99,
0.29,5.90,1.4,2.9,10.8758,
-99,-99,-99,-99,-99,
0.31,6.00,1.9,2.5,0.584025,
0.83,6.00,0.7,1.1,2.90565,
0.51,6.20,1.4,1.6,2.20359,
0.72,6.20,0.6,0.8,4.03446,
0.39,-99,-99,-99,-99,
0.99,6.30,0.6,0.6,9.74675,
0.29,6.40,0.4,0.4,5.43165,
0.43,6.40,2.7,5.6,1.48331,
0.44,6.50,2,3.5,2.07027,
-99,-99,-99,-99,-99,
0.31,6.80,1.5,2.5,0.622813,
0.35,6.80,2,4.1,0.456813,
0.3,6.90,0.6,0.6,6.98853,
0.54,7.00,3,8.1,0.99903,
0.61,7.10,1.5,2.2,1.7709,
-99,-99,-99,-99,-99,
-99,-99,-99,-99,-99,
-99,-99,-99,-99,-99,
-99,-99,-99,-99,-99,
0.83,7.20,0.3,0.3,11.4894,
0.44,7.20,1.7,2.8,3.00944,
0.72,7.30,0.8,1.4,3.1896,
-99,-99,-99,-99,-99,
0.59,7.40,2.5,5.9,4.95515,
1.05,7.50,2.5,6.7,3.01463,
0.28,7.70,0.4,0.3,11.7739,
0.2,7.90,3.4,6.3,0.45759,
0.69,8.20,2.9,6.3,0.726257,
1.01,8.30,2.9,5.3,2.14643,
-99,-99,-99,-99,-99,
0.4,8.30,1.9,2.8,4.66163,
0.51,8.40,3,6.3,3.13008,
0.19,8.50,3,6,1.36758,
0.52,8.50,1.6,1.7,3.11881,
0.27,8.70,0.3,0.3,16.0827,
1.39,9.00,1.5,2.3,4.50403,
0.27,9.80,3.7,6.6,13.555,
-99,-99,-99,-99,-99,
0.56,10.70,4.4,14.6,2.39206,
0.89,11.10,0.5,0.5,44.3231,
0.15,14.70,3.7,8.4,1.18819,
,,,,,
,,,,,
,,,,,
,,,,,
-99,-99,-99,-99,-99,
-99,-99,-99,-99,-99,
,,,,,
0.67,-99,-99,-99,-99,
