#Table: J/MNRAS/423/1024/. (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                          |                     |             |      |    |     |      |      |      |                             | n_| z|          |          |          |     |  e_|    E|          |          |          |     |  e_|
      XMMXCS                  Name        |     RAdeg      DEdeg|       Counts|     z|r_z |n_z  |    TX|  e_TX|  E_TX|OName                        |zoo|oo|      L500|    e_L500|    E_L500| R500|R500|_R500|      L200|    e_L200|    E_L200| R200|R200|   E_
------------------------------------------|---------------------|-------------|------|----|-----|------|------|------|-----------------------------|---|--|----------|----------|----------|-----|----|-----|----------|----------|----------|-----|----|-----
XMMXCSJ021734.7-051326.9XMMXCSJ0217.5-0513| 34.394583  -5.224139|4.3194100e+02|  0.65|Lit |spec |  4.20|  1.10|  1.80|XLSSU J021735.2-051325       |dss|na|  0.706000|-99.000000|-99.000000|  529| 235|  417|  0.743900|-99.000000|-99.000000|  802| 356|  633
XMMXCSJ021741.5-045148.3XMMXCSJ0217.6-0451| 34.422917  -4.863417|7.2272600e+01|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ021755.3-052655.2XMMXCSJ0217.9-0526| 34.480417  -5.448667|2.0337600e+02|  0.25|Lit |spec |  0.60|  0.30|  0.10|XLSSU J021754.6-052655       |dss|na|  0.030159|  0.009487|  0.008534|  267|  89|   21|  0.061369|  0.026867|  0.025306|  405| 135|   32
XMMXCSJ021759.3-045215.9XMMXCSJ0217.9-0452| 34.497083  -4.871083|1.0045200e+02|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ021832.4-050054.1XMMXCSJ0218.5-0500| 34.635000  -5.015028|3.3476000e+02|  0.88|Lit |spec |  3.50|  0.60|  0.80|XLSSU J021832.0-050105       |dss|na|  1.085830|  0.627351|  1.027040|  358|  35|   43|  1.757050|  0.712297|  0.787114|  543|  54|   66
XMMXCSJ021943.7-045313.8XMMXCSJ0219.7-0453| 34.932083  -4.887167|2.2530900e+02|  0.33|Lit |spec |  2.10|  0.40|  0.80|XLSSU J021945.1-045329       |dss|na|  0.116395|  0.096562|  0.083931|  482| 108|  130|  0.179857|  0.158240|  0.249612|  731| 164|  197
XMMXCSJ022023.2-025025.4XMMXCSJ0220.3-0250| 35.096667  -2.840389|1.2619100e+02|  0.23|Lit |spec |  1.10|  0.20|  0.30|XLSS J022023.5-025027        |NXS|g |  0.076201|  0.074191|  0.114392|  376|  40|   50|  0.081732|  0.079722|  0.334917|  570|  60|   76
XMMXCSJ022038.8-030145.9XMMXCSJ0220.6-0301| 35.161667  -3.029417|8.0477100e+01|  0.16|NXS |phot |  2.60|  1.10|  2.60|                             |NXS|s |  0.139166|  0.054132|  0.068822|  707| 132|  284|  0.205538|  0.083881|  0.110571| 1072| 201|  431
XMMXCSJ022044.8-025227.9XMMXCSJ0220.7-0252| 35.186667  -2.874417|5.5040200e+01|  0.57|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ022045.1-032555.0XMMXCSJ0220.7-0325| 35.187917  -3.431944|5.7594500e+02|  0.33|Lit |spec |  2.60|  0.40|  0.70|XLSS J022045.4-032558        |NXS|g |  0.462462|  0.120024|  0.153415|  555|  57|   76|  0.837245|  0.467884|  0.454919|  842|  86|  116
XMMXCSJ022145.4-034617.4XMMXCSJ0221.7-0346| 35.439167  -3.771500|1.6240400e+03|  0.43|Lit |spec |  5.80|  0.40|  0.40|XLSS J022145.2-034617        |NXS|b |  2.829470|  0.094014|  0.089774|  788|  30|   31|  3.079910|  0.131563|  0.130616| 1195|  46|   47
XMMXCSJ022204.3-043239.6XMMXCSJ0222.0-0432| 35.517917  -4.544333|1.6828300e+02|  0.32|Lit |spec |  4.10|  1.70|  3.20|XLSS J022205.5-043247        |NXS|s |  0.435456|  0.275640|  0.482342|  736| 187|  280|  0.621850|  0.456380|  1.462460| 1116| 283|  426
XMMXCSJ022206.3-030313.6XMMXCSJ0222.1-0303| 35.526250  -3.053778|3.3644000e+02|  0.49|Lit |spec |  3.90|  0.40|  0.60|XLSS J022206.7-030314        |NXS|s |  2.580040|  0.314149|  0.376531|  589|  37|   49|  2.594180|  0.311115|  0.372692|  894|  56|   75
XMMXCSJ022233.0-045803.2XMMXCSJ0222.5-0458| 35.637500  -4.967556|1.2332300e+02|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ022252.8-032831.2XMMXCSJ0222.8-0328| 35.720000  -3.475333|8.6845300e+01|  1.00|Lit |spec |  5.10|  2.50|  5.20|XLSS J022253.6-032828        |dss|na|  1.454750|  0.557594|  0.348622|  384| 120|  185|  3.037210|  1.812290|  1.037840|  582| 182|  281
XMMXCSJ022307.7-041259.4XMMXCSJ0223.1-0412| 35.782083  -4.216500|2.9572200e+02|  0.63|Lit |spec |-99.00|-99.00|-99.00|XLSSU J022307.2-041259       |NXS|b |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ022347.6-025129.5XMMXCSJ0223.7-0251| 35.948333  -2.858194|2.1654300e+02|  0.17|Lit |spec |  1.40|  0.10|  0.20|XLSS J022348.1-025131        |NXS|s |  0.090702|  0.025431|  0.032204|  462|  27|   34|  0.142554|  0.044230|  0.058444|  700|  41|   52
XMMXCSJ022356.3-030559.3XMMXCSJ0223.9-0305| 35.984583  -3.099806|1.2111600e+02|  0.30|Lit |spec |  2.10|  0.80|  2.10|XLSS J022356.5-030558        |NXS|s |  0.167118|  0.092531|  0.246926|  504| 115|  240|  0.219497|  0.144886|  0.684478|  764| 175|  365
XMMXCSJ022357.6-043518.9XMMXCSJ0223.9-0435| 35.990000  -4.588583|1.2208900e+02|  0.49|Lit |spec |  3.70|  1.40|  3.20|XLSS J022357.4-043517        |dss|na|  0.209553|-99.000000|-99.000000|  573| 141|  243|  0.198698|-99.000000|-99.000000|  573| 141|  243
XMMXCSJ022401.9-050528.4XMMXCSJ0224.0-0505| 36.007917  -5.091222|3.4681900e+02|  0.32|Lit |spec |  2.00|  0.70|  1.10|XLSS J022402.0-050525        |dss|na|  0.122355|-99.000000|-99.000000|  483|  98|  131|  0.116278|-99.000000|-99.000000|  483|  98|  131
XMMXCSJ022403.8-041333.4XMMXCSJ0224.0-0413| 36.015833  -4.225944|2.6174100e+03|  1.05|Lit |spec |  3.60|  0.20|  0.30|XLSS J022404.1-041330        |NXS|g |  3.371130|  0.229150|  0.235030|  299|  10|   12|  4.481080|  0.232305|  0.232142|  453|  16|   18
XMMXCSJ022406.0-035502.1XMMXCSJ0224.1-0355| 36.025000  -3.917250|1.5895100e+02|  0.56|Lit |spec |-99.00|-99.00|-99.00|XLSSU J022405.9-035512       |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ022427.3-045028.1XMMXCSJ0224.4-0450| 36.113750  -4.841139|1.1010000e+02|  0.49|Lit |spec |  5.40|  1.70|  3.40|RzCS 447                     |dss|na|  1.605980|-99.000000|-99.000000|  711| 137|  228|  1.515080|-99.000000|-99.000000| 1077| 208|  345
XMMXCSJ022433.8-041432.9XMMXCSJ0224.5-0414| 36.140833  -4.242472|1.8724000e+03|  0.26|Lit |spec |  1.40|  0.10|  0.10|XLSS J022433.8-041405        |NXS|s |  0.170213|  0.030099|  0.043472|  414|   9|    9|  0.293206|  0.026583|  0.033799|  629|  15|   13
XMMXCSJ022457.8-034851.1XMMXCSJ0224.9-0348| 36.240833  -3.814194|6.0042600e+02|  0.61|Lit |spec |  4.50|  0.80|  1.00|XLSS J022457.1-034856        |NXS|g |  3.192610|  2.044000|  0.329696|  562|  60|   72|  3.266600|  1.082770|  0.253542|  852|  92|  110
XMMXCSJ022509.7-040137.6XMMXCSJ0225.1-0401| 36.290417  -4.027111|1.5425600e+02|  0.17|Lit |spec |-99.00|-99.00|-99.00|XLSSU J022510.5-040147       |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ022618.3-040000.1XMMXCSJ0226.3-0400| 36.576250  -4.000028|9.8114600e+01|  0.20|Lit |phot |-99.00|-99.00|-99.00|CFHTLS CL J022620-040014     |dss|na|-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ022634.7-040408.0XMMXCSJ0226.5-0404| 36.644583  -4.068889|2.3987800e+02|  0.35|Lit |spec |  5.30|  2.20|  4.70|XLSSU J022632.5-040314       |NXS|s |  0.430118|  0.149631|  0.188268|  659| 144|  352|  0.653238|  0.268029|  0.463435|  999| 219|  533
XMMXCSJ022709.5-041805.0XMMXCSJ0227.1-0418| 36.789583  -4.301389|1.7968100e+02|  1.05|Lit |spec |  7.50|  2.50|  6.70|XLSS J022709.2-041800        |dss|na|  3.014630|-99.000000|-99.000000|  454|  94|  196|  2.905090|-99.000000|-99.000000|  454|  94|  196
XMMXCSJ022722.1-032145.2XMMXCSJ0227.3-0321| 36.842083  -3.362556|3.3029400e+02|  0.33|Lit |spec |  2.50|  0.40|  0.60|XLSS J022722.4-032144        |dss|na|  0.869860|  0.245199|  0.444251|  548|  46|   66|  0.879450|  0.245790|  0.444713|  832|  71|  100
XMMXCSJ022726.7-043209.1XMMXCSJ0227.4-0432| 36.861250  -4.535861|3.0335800e+02|  0.31|Lit |spec |  1.70|  0.20|  0.40|XLSS J022726.0-043216        |dss|na|  0.155527|-99.000000|-99.000000|  446|  33|   51|  0.148245|-99.000000|-99.000000|  446|  33|   51
XMMXCSJ022738.5-031801.3XMMXCSJ0227.6-0318| 36.910417  -3.300361|2.0451800e+02|  0.84|Lit |spec |  3.60|  0.80|  1.40|XLSS J022738.3-031758        |dss|na|  1.627180|  0.274981|  0.214151|  381|  48|   74|  3.188870|  0.528375|  0.405874|  578|  72|  112
XMMXCSJ022812.5-100538.3XMMXCSJ0228.2-1005| 37.052083 -10.093972|2.8004400e+02|  0.15|Lit |spec |  2.10|  0.50|  0.70|WARP J0228.1-1005            |dss|na|  0.288631|  0.175708|  0.100375|  591|  81|   99|  0.410117|  0.297180|  0.171788|  896| 123|  150
XMMXCSJ022827.3-042542.2XMMXCSJ0228.4-0425| 37.113750  -4.428389|4.9720200e+02|  0.43|Lit |spec |  3.30|  0.60|  0.90|XLSS J022827.8-042601        |dss|na|  0.807097|  0.144802|  0.151041|  568|  67|   81|  1.380270|  0.365829|  0.537819|  862| 102|  122
XMMXCSJ023346.0-085048.5XMMXCSJ0233.7-0850| 38.441667  -8.846806|1.7956300e+02|  0.25|Spec|spec |  2.10|  0.50|  1.10|MaxBCG J038.43299-08.84562   |DR7|s |  0.414658|  0.151950|  0.170853|  529|  79|  147|  0.623247|  0.257288|  0.306756|  802| 119|  223
XMMXCSJ023759.9-522434.4XMMXCSJ0237.9-5224| 39.499583 -52.409556|3.5716000e+03|  0.14|Lit |spec |  3.70|  0.30|  0.40|400d J0237-5224              |dss|na|  0.379336|  0.036689|  0.023735|  781|  59|   57|  0.380408|  0.036944|  0.024008| 1185|  89|   87
XMMXCSJ024150.5-000549.9XMMXCSJ0241.8-0005| 40.460417  -0.097194|6.6333100e+01|  0.28|Lit |phot |  1.60|  0.50|  1.00|SDSS CE J040.474457-00.097709|dss|na|  0.141682|  0.117088|  0.199585|  442|  86|  136|  0.167153|  0.142487|  0.445797|  670| 131|  206
XMMXCSJ024311.6+372329.8XMMXCSJ0243.1+3723| 40.798333  37.391611|6.9544400e+01|  0.52|NXS |phot |  2.70|  0.70|  1.30|                             |NXS|s |  0.574049|  0.253436|  0.226268|  461|  75|  117|  0.981979|  0.648828|  0.831110|  700| 114|  178
XMMXCSJ024809.8+311516.4XMMXCSJ0248.1+3115| 42.040833  31.254556|1.4594800e+02|  0.35|NXS |phot |  4.30|  1.60|  3.90|                             |NXS|g |  1.024700|  0.872392|  1.030150|  724| 167|  326|  1.508270|  1.355920|  2.763430| 1098| 253|  494
XMMXCSJ024835.6+311917.0XMMXCSJ0248.5+3119| 42.148333  31.321389|2.4841900e+02|  0.37|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ025006.4-310400.8XMMXCSJ0250.1-3104| 42.526667 -31.066889|6.2221100e+02|  0.91|Spec|spec |  5.60|  1.30|  2.10|                             |NXS|g |  3.398440|  1.079830|  3.034520|  448|  61|   88|  4.445120|  1.559370|  2.156310|  680|  92|  134
XMMXCSJ030145.5+000335.8XMMXCSJ0301.7+0003| 45.439583   0.059944|8.0257700e+01|  0.69|Spec|spec |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ030205.1-000003.6XMMXCSJ0302.0-0000| 45.521250  -0.001000|3.7331700e+02|  0.65|Lit |spec |  5.60|  0.40|  0.50|XMMU J0302.1-0000            |S82|s |  6.843980|  0.766304|  8.987800|  607|  23|   32| 14.092700|  6.148460|  1.842450|  921|  35|   49
XMMXCSJ030211.4-000134.3XMMXCSJ0302.1-0001| 45.547500  -0.026194|1.9620800e+02|  1.19|Lit |spec |  2.30|  0.50|  0.90|XMMU J0302.2-0001            |NXS|s | 12.871000|-99.000000|-99.000000|  199|  26|   42| 12.367300|-99.000000|-99.000000|  199|  26|   42
XMMXCSJ030253.4-000554.5XMMXCSJ0302.8-0005| 45.722500  -0.098472|8.7138800e+01|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ030317.4+001238.4XMMXCSJ0303.2+0012| 45.822500   0.210667|1.0953400e+02|  0.59|Spec|spec |  1.40|  0.20|  0.30|BLOX J0303.3+0012.8          |S82|s |  0.246822|  0.058841|  0.088787|  291|  23|   30|  0.268402|  0.054751|  0.083788|  441|  36|   45
XMMXCSJ030332.8-005735.5XMMXCSJ0303.5-0057| 45.886667  -0.959861|8.2348700e+01|  0.64|S82 |phot |  2.50|  0.80|  2.10|                             |S82|g |  0.504986|  0.171547|  0.168260|  391|  75|  161|  0.757999|  0.364002|  0.379195|  593| 114|  245
XMMXCSJ030348.3-775241.3XMMXCSJ0303.8-7752| 45.951250 -77.878139|1.4659000e+04|  0.27|Lit |spec |  8.70|  0.30|  0.30|1RXS J030344.4-775222        |dss|na| 16.082700|  0.344375|  0.326765| 1174|  26|   26| 16.198900|  0.348418|  0.330767| 1780|  39|   39
XMMXCSJ030614.4-000535.8XMMXCSJ0306.2-0005| 46.560000  -0.093278|1.1738300e+03|  0.43|LRG |spec |  2.30|  0.20|  0.30|                             |S82|s |  0.673377|  0.235087|  0.165011|  468|  25|   34|  1.039600|  0.600829|  0.834001|  710|  38|   51
XMMXCSJ030617.2-000834.6XMMXCSJ0306.2-0008| 46.571667  -0.142944|2.2359700e+03|  0.11|LRG |spec |  1.80|  0.60|  1.60|SDSS-C4 2007                 |S82|g |  0.380075|  0.093924|  0.080153|  701|  74|   84|  0.602601|  0.166274|  0.155572| 1063| 112|  127
XMMXCSJ030634.0-000423.7XMMXCSJ0306.5-0004| 46.641667  -0.073250|4.2118400e+02|  0.11|LRG |spec |  1.00|  0.10|  0.10|                             |DR7|s |  0.022829|  0.018920|  0.046781|  408|  23|   19|  0.033832|  0.029923|  0.093527|  619|  35|   29
XMMXCSJ030637.3-001816.7XMMXCSJ0306.6-0018| 46.655417  -0.304639|1.1350400e+02|  0.44|S82 |phot |-99.00|-99.00|-99.00|                             |S82|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ030644.2-000112.7XMMXCSJ0306.7-0001| 46.684167  -0.020194|1.0096400e+02|  0.11|LRG |spec |-99.00|-99.00|-99.00|SDSS CE J046.701099-00.022623|S82|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ030659.8+000824.9XMMXCSJ0306.9+0008| 46.749167   0.140250|1.5600000e+02|  0.08|H11 |phot |  2.30|  0.70|  1.30|SDSS CE J046.719402+00.163919|S82|s |  0.013223|  0.009098|  0.018605|  665| 120|  180|  0.013821|  0.009612|  0.020311| 1008| 182|  274
XMMXCSJ032553.3-061719.9XMMXCSJ0325.8-0617| 51.472083  -6.288861|9.1216900e+01|  0.32|Spec|spec |  1.60|  0.40|  2.40|                             |dss|na|  0.159740|  0.131736|  0.199157|  430|  62|  296|  0.246909|  0.218900|  0.584310|  652|  94|  449
XMMXCSJ033049.7-522836.5XMMXCSJ0330.8-5228| 52.707083 -52.476806|1.4934900e+04|  0.44|Lit |spec |  4.50|  0.10|  0.10|ABELL 3128 NE                |dss|na| 10.231900|  0.073251|  0.073986|  676|   6|    6| 20.913300|  0.134767|  0.132692| 1025|   9|    9
XMMXCSJ033351.5+000600.4XMMXCSJ0333.8+0006| 53.464583   0.100111|1.1960100e+02|  0.49|S82 |phot |-99.00|-99.00|-99.00|SDSS CE J053.466343+00.119622|S82|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ033445.3+001707.2XMMXCSJ0334.7+0017| 53.688750   0.285333|1.0331000e+02|  0.31|S82 |phot |  1.90|  0.60|  1.30|SDSS CE J053.695625+00.289605|S82|s |  0.639425|  0.303569|  0.426480|  473|  86|  168|  0.972096|  0.537794|  1.042590|  717| 131|  254
XMMXCSJ033556.2+003214.7XMMXCSJ0335.9+0032| 53.984167   0.537417|6.8550400e+02|  0.43|LRG |spec |  2.90|  0.60|  0.80|SDSS CE J053.980568+00.534098|S82|g |  0.853547|  0.165501|  0.087145|  532|  71|   78|  0.863931|  0.171918|  0.101625|  807| 108|  118
XMMXCSJ033757.0+002903.4XMMXCSJ0337.9+0029| 54.487500   0.484278|2.7874200e+02|  0.32|LRG |spec |  2.30|  0.50|  0.90|SDSS CE J054.487713+00.485329|S82|g |  0.942806|  0.606483|  0.208913|  523|  62|  102|  1.641500|  1.283120|  0.411158|  794|  94|  155
XMMXCSJ033810.8-225623.8XMMXCSJ0338.1-2256| 54.545000 -22.939944|2.6754300e+03|  0.17|Lit |spec |  1.50|  0.10|  0.10|400d J0338-2256              |dss|na|  0.225090|  0.015764|  0.017760|  480|  20|   12|  0.239170|  0.020485|  0.023813|  728|  30|   18
XMMXCSJ035414.6+003703.0XMMXCSJ0354.2+0037| 58.560833   0.617500|2.0169500e+02|-99.00|DR7 |phot |-99.00|-99.00|-99.00|                             |DR7|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ035417.0-001006.6XMMXCSJ0354.2-0010| 58.570833  -0.168500|3.2048700e+02|  0.21|Spec|spec |  2.80|  0.60|  0.80|                             |S82|g |  0.501582|  0.121737|  0.160196|  608|  86|  102|  0.613150|  0.163346|  0.232166|  921| 130|  155
XMMXCSJ035726.4+011806.4XMMXCSJ0357.4+0118| 59.360000   1.301778|1.1043200e+03|  0.13|NXS |phot |  3.20|  0.40|  0.50|                             |NXS|g |  0.288725|  0.266159|  0.379432|  764|  62|   67|  0.434294|  0.407044|  0.786604| 1158|  95|  101
XMMXCSJ035731.7+005939.4XMMXCSJ0357.5+0059| 59.382083   0.994278|9.4327400e+01|  0.58|S82 |phot |-99.00|-99.00|-99.00|                             |S82|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ035744.6+010136.9XMMXCSJ0357.7+0101| 59.435833   1.026917|7.9668800e+02|  0.36|S82 |phot |  5.70|  1.70|  5.40|                             |S82|s |  1.001810|  0.422734|  0.907602|  844| 153|  390|  1.097000|  0.517444|  1.564490| 1280| 232|  592
XMMXCSJ035805.7+011001.2XMMXCSJ0358.0+0110| 59.523750   1.167000|1.1429300e+02|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ040646.5-711628.5XMMXCSJ0406.7-7116| 61.693750 -71.274583|2.0389500e+03|  0.23|Lit |phot |  3.90|  0.30|  0.50|MS 0407.2-7123               |dss|na|  1.645650|  0.249351|  0.224856|  776|  39|   55|  1.975340|  0.365495|  0.362438| 1177|  59|   83
XMMXCSJ041645.8-552510.1XMMXCSJ0416.7-5525| 64.190833 -55.419472|1.5821600e+02|  0.37|Lit |spec |  2.20|  0.40|  0.70|RX J0416.7-5525              |dss|na|  0.907236|  0.286891|  0.269678|  491|  49|   79|  1.343800|  0.722998|  0.938146|  745|  75|  121
XMMXCSJ041704.8+011330.9XMMXCSJ0417.0+0113| 64.270000   1.225250|5.5931600e+02|  0.32|Lit |spec |  3.60|  0.50|  0.80|ZwCl 0414.3+0103             |dss|na|  1.440170|  0.200758|  0.207108|  672|  51|   77|  2.589770|  0.436198|  0.469993| 1020|  77|  118
XMMXCSJ041944.6+143904.5XMMXCSJ0419.7+1439| 64.935833  14.651250|2.3054600e+02|  0.19|Spec|spec |-99.00|-99.00|-99.00|                             |NXS|na|-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ043338.8+052310.0XMMXCSJ0433.6+0523| 68.411667   5.386111|1.4750000e+02|  0.12|NXS |phot |  0.70|  0.10|  0.10|                             |NXS|s |  0.023115|  0.014461|  0.021577|  318|  18|   16|  0.025392|  0.016705|  0.033911|  483|  28|   25
XMMXCSJ044759.9-203721.4XMMXCSJ0447.9-2037| 71.999583 -20.622611|1.3733000e+02|  0.41|Lit |spec |  1.00|  0.20|  0.30|F1652.20CR                   |dss|na|  0.180157|-99.000000|-99.000000|  297|  31|   48|  0.172710|-99.000000|-99.000000|  297|  31|   48
XMMXCSJ045506.3-532343.8XMMXCSJ0455.1-5323| 73.776250 -53.395500|8.6249500e+02|  0.41|Spec|spec |  3.60|  0.50|  0.70|                             |NXS|g |  0.665995|  0.054781|  0.317146|  614|  49|   65|  1.094030|  0.449791|  0.676465|  931|  74|   98
XMMXCSJ051545.1-001036.1XMMXCSJ0515.7-0010| 78.937917  -0.176694|2.4996800e+02|  0.47|NXS |phot |  3.90|  1.50|  2.90|                             |NXS|s |  0.558898|  0.401056|  0.475161|  605| 145|  223|  0.763876|  0.600448|  1.164900|  917| 220|  339
XMMXCSJ051548.2+793959.0XMMXCSJ0515.8+7939| 78.950833  79.666389|3.4679100e+02|  0.61|NXS |phot |  7.10|  1.50|  2.20|                             |NXS|s |  1.770900|  0.211817|  0.190731|  723|  95|  123|  2.429070|  0.386993|  0.394422| 1097| 144|  187
XMMXCSJ051610.0+010954.0XMMXCSJ0516.1+0109| 79.041667   1.165000|1.4429100e+02|  0.32|Spec|spec |  4.70|  2.10|  7.00|                             |NXS|na|  0.696187|  0.670588|  1.263590|  788| 223|  536|  1.078270|  1.052670|  3.849690| 1196| 338|  813
XMMXCSJ052110.9-253103.5XMMXCSJ0521.1-2531| 80.295417 -25.517639|1.3066000e+02|  0.58|Lit |spec |  4.00|  1.40|  2.60|400d J0521-2530              |dss|na|  1.069830|  0.716953|  0.361679|  539| 119|  180|  1.280890|  0.926085|  0.991733|  817| 181|  273
XMMXCSJ052215.4-362513.7XMMXCSJ0522.2-3625| 80.564167 -36.420472|1.9367600e+03|  0.47|Lit |spec |  5.50|  0.50|  0.60|400d J0522-3624              |dss|na|  2.731380|  2.445800|  0.062441|  730|  42|   44|  3.563300|  3.277560|  1.663250| 1107|  65|   67
XMMXCSJ052247.3-481734.3XMMXCSJ0522.7-4817| 80.697083 -48.292861|1.5959800e+02|  0.21|Lit |spec |  1.40|  0.30|  0.30|CXOU J052246-481804          |dss|na|  0.106330|-99.000000|-99.000000|  439| 269|  246|  0.100310|-99.000000|-99.000000|  665| 408|  374
XMMXCSJ054414.2-255547.5XMMXCSJ0544.2-2555| 86.059167 -25.929861|6.3969400e+02|  0.26|Lit |spec |  4.10|  1.50|  2.00|400d J0544-2555              |dss|na|  0.881699|  0.818568|  1.005690|  773| 181|  200|  1.429180|  1.366040|  2.127740| 1172| 275|  303
XMMXCSJ063945.9+821847.3XMMXCSJ0639.7+8218| 99.941250  82.313139|1.0381100e+03|  0.41|NXS |phot |  4.90|  0.80|  0.80|                             |NXS|g |  0.909104|  0.657560|  1.212570|  735|  72|   66|  1.109300|  0.857665|  3.221950| 1115| 110|  100
XMMXCSJ064010.9+822902.2XMMXCSJ0640.1+8229|100.045417  82.483944|8.7177500e+01|  0.83|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ064423.6+822626.5XMMXCSJ0644.3+8226|101.098333  82.440694|2.6437600e+02|-99.00|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ072022.0+713155.9XMMXCSJ0720.3+7131|110.091667  71.532194|3.0435200e+02|  0.27|Lit |spec |  2.40|  0.60|  1.20|ZwCl 0714.8+7140             |dss|na|  0.287551|  0.186848|  0.375452|  565|  85|  146|  0.354509|  0.253777|  1.037820|  856| 129|  221
XMMXCSJ072054.3+710900.5XMMXCSJ0720.9+7109|110.226250  71.150139|9.1495200e+02|  0.23|Lit |spec |  2.90|  0.40|  0.50|400d J0720+7108              |dss|na|  0.726273|  0.468478|  0.990824|  666|  53|   57|  1.066650|  0.808830|  2.244670| 1010|  81|   86
XMMXCSJ073524.1+435311.5XMMXCSJ0735.4+4353|113.850417  43.886528|1.4799100e+02|  0.13|NXS |phot |-99.00|-99.00|-99.00|                             |NXS|s |-99.000000|-99.000000|-99.000000|  -99| -99|  -99|-99.000000|-99.000000|-99.000000|  -99| -99|  -99
XMMXCSJ073605.8+433910.2XMMXCSJ0736.0+4339|114.024167  43.652833|1.8690700e+03|  0.43|LRG |spec |  4.50|  0.60|  0.80|                             |NXS|g |  2.692580|  0.245322|  0.181067|  686|  52|   67|  3.528470|  0.355624|  0.280056| 1040|  79|  101
XMMXCSJ074232.8+651704.5XMMXCSJ0742.5+6517|115.636667  65.284583|1.4208600e+02|  0.17|Lit |spec |  3.20|  1.40|  3.20|RIXOS F234_505               |dss|na|  0.112581|-99.000000|-99.000000|  732| 207|  361|  0.106924|-99.000000|-99.000000|  732| 207|  361
XMMXCSJ074603.6+305244.5XMMXCSJ0746.0+3052|116.515000  30.879028|4.5714500e+02|  0.22|LRG |spec |  2.40|  0.40|  0.40|                             |DR7|s |  0.729602|  0.184663|  0.204507|  592|  61|   57|  1.182520|  0.387135|  0.447969|  897|  93|   87
