     z,M500,L500 Corrected,      L500,    TX,Kappa,,,,
0.12,67.92419708,0.060017682,0.077794,1.6,1.296184673,0.771495004,,,
0.19,48.34401931,0.042484687,0.055068,1.6,1.296184673,0.771495004,,,
0.21,68.8127332,0.080356605,0.104157,1.6,1.296184673,0.771495004,,,
0.27,49.52377864,0.055501351,0.07194,1.6,1.296184673,0.771495004,,,
0.14,68.48536913,0.064720716,0.08389,1.6,1.296184673,0.771495004,,,
0.13,59.8638445,0.050329248,0.065236,1.6,1.296184673,0.771495004,,,
0.08,111.9006362,0.119829701,0.156719,1.66,1.307847712,0.764615017,,,
0.17,64.06401377,0.063532165,0.083598,1.7,1.315837425,0.759972304,,,
0.2,71.08183306,0.08232172,0.108322,1.7,1.315837425,0.759972304,,,
0.31,73.4945154,0.118196213,0.155527,1.7,1.315837425,0.759972304,,,
0.11,38.2913163,0.022720132,0.029896,1.7,1.315837425,0.759972304,,,
0.13,68.03288285,0.062076818,0.081683,1.7,1.315837425,0.759972304,,,
1.27,35.58754718,0.246442299,0.324278,1.7,1.315837425,0.759972304,,,
0.47,49.56371974,0.092720421,0.122005,1.7,1.315837425,0.759972304,,,
0.5,58.69688352,0.131323974,0.172801,1.7,1.315837425,0.759972304,,,
0.44,171.6088786,0.66131726,0.870186,1.7,1.315837425,0.759972304,,,
0.53,78.91402406,0.228690866,0.30092,1.7,1.315837425,0.759972304,,,
0.41,80.89407684,0.178955998,0.235477,1.7,1.315837425,0.759972304,,,
0.19,189.4091475,0.398885143,0.524868,1.7,1.315837425,0.759972304,,,
0.34,124.9948388,0.3056791,0.402224,1.7,1.315837425,0.759972304,,,
0.23,73.41750834,0.094640111,0.124531,1.7,1.315837425,0.759972304,,,
0.08,64.95762786,0.049112556,0.06559,1.8,1.335503683,0.748781162,,,
0.12,109.9916573,0.132308883,0.176699,1.8,1.335503683,0.748781162,,,
0.12,57.95408554,0.046261198,0.061782,1.8,1.335503683,0.748781162,,,
