     z,M500,L500 Corrected,      L500,    TX,Kappa,,,,
0.11,692.6759766,2.621777134,5.59785,5.4,2.135135717,0.468354303,,,
0.92,248.8676937,3.329956941,7.10991,5.4,2.135135717,0.468354303,,,
0.12,578.5380475,2.013647173,4.29941,5.4,2.135135717,0.468354303,,,
0.47,244.0710531,1.266581971,2.73138,5.5,2.156496825,0.463715035,,,
0.41,224.2731703,0.95287875,2.05488,5.5,2.156496825,0.463715035,,,
0.27,103.6276001,0.186289632,0.401733,5.5,2.156496825,0.463715035,,,
1.24,119.8395771,1.722933211,3.7155,5.5,2.156496825,0.463715035,,,
0.64,212.6684572,1.4821169,3.2269,5.6,2.177223672,0.459300536,,,
0.91,158.5480389,1.560905314,3.39844,5.6,2.177223672,0.459300536,,,
0.65,332.0230663,3.143443684,6.84398,5.6,2.177223672,0.459300536,,,
0.56,314.5218555,2.363629454,5.14615,5.6,2.177223672,0.459300536,,,
0.48,142.9178882,0.53920505,1.17397,5.6,2.177223672,0.459300536,,,
0.55,184.2121951,0.961123116,2.09258,5.6,2.177223672,0.459300536,,,
0.36,154.5057682,0.455775969,1.00181,5.7,2.198031639,0.454952505,,,
0.59,154.7990416,0.789961331,1.73636,5.7,2.198031639,0.454952505,,,
0.21,177.9662333,0.381767025,0.839136,5.7,2.198031639,0.454952505,,,
1.13,77.37103866,0.704844267,1.54927,5.7,2.198031639,0.454952505,,,
0.43,259.9395488,1.275154307,2.82947,5.8,2.218923611,0.450668962,,,
0.52,246.6533055,1.448675378,3.2145,5.8,2.218923611,0.450668962,,,
0.37,77.90194751,0.152109788,0.33752,5.8,2.218923611,0.450668962,,,
0.39,64.81497868,0.118357387,0.262626,5.8,2.218923611,0.450668962,,,
0.29,731.8719542,4.855494849,10.8758,5.9,2.239895281,0.446449443,,,
0.31,118.3827485,0.258308371,0.584025,6,2.260960407,0.442289921,,,
0.83,154.2903535,1.285139709,2.90565,6,2.260960407,0.442289921,,,
0.51,194.2360832,0.956701182,2.20359,6.2,2.303321081,0.43415571,,,
0.72,212.7139599,1.751583847,4.03446,6.2,2.303321081,0.43415571,,,
0.99,265.3357383,4.192824998,9.74675,6.3,2.324625999,0.430176725,,,
0.29,465.9254497,2.315255239,5.43165,6.4,2.346026437,0.426252656,,,
0.43,169.4735006,0.632264827,1.48331,6.4,2.346026437,0.426252656,,,
0.44,203.4788714,0.874452748,2.07027,6.5,2.367503567,0.422385847,,,
0.31,117.7489571,0.256044274,0.622813,6.8,2.432442603,0.411109392,,,
0.35,91.41026201,0.187800115,0.456813,6.8,2.432442603,0.411109392,,,
0.3,520.1070132,2.848982074,6.98853,6.9,2.452991917,0.407665428,,,
0.54,110.1118283,0.40404169,0.99903,7,2.47259138,0.404433991,,,
0.61,141.2965408,0.710562386,1.7709,7.1,2.492251258,0.401243653,,,
0.83,334.5921819,4.573836622,11.4894,7.2,2.511983035,0.398091861,,,
0.44,246.5431164,1.198033569,3.00944,7.2,2.511983035,0.398091861,,,
0.72,173.9909046,1.259821568,3.1896,7.3,2.531787104,0.394977918,,,
0.59,267.8895503,1.941928979,4.95515,7.4,2.551663863,0.391901149,,,
1.05,114.4924176,1.172271707,3.01463,7.5,2.571613715,0.388860891,,,
0.28,711.1921889,4.508057817,11.7739,7.7,2.611745563,0.382885689,,,
0.2,111.6120122,0.172534615,0.45759,7.9,2.652163454,0.377050667,,,
0.69,70.24845583,0.267660157,0.726257,8.2,2.713354905,0.368547439,,,
1.01,93.51554839,0.785111996,2.14643,8.3,2.733915683,0.365775728,,,
0.4,324.6898185,1.705111108,4.66163,8.3,2.733915683,0.365775728,,,
0.51,215.7231857,1.136334123,3.13008,8.4,2.754541941,0.363036767,,,
0.19,215.4659654,0.492778032,1.36758,8.5,2.775245468,0.360328487,,,
0.52,211.2714753,1.123796088,3.11881,8.5,2.775245468,0.360328487,,,
0.27,835.5995407,5.713286445,16.0827,8.7,2.814964759,0.355244234,,,
1.39,98.56216739,1.568821002,4.50403,9,2.87096488,0.348314954,,,
0.27,720.813084,4.483716317,13.555,9.8,3.023161824,0.330779514,,,
0.56,155.8980238,0.747636739,2.39206,10.7,3.199494991,0.312549325,,,
0.89,605.8389229,13.55745013,44.3231,11.1,3.269279958,0.305877751,,,
0.15,173.5250349,0.306543627,1.18819,14.7,3.876087764,0.257992094,,,
