1.27	36.96478184	0.426697129	1.7	0.32	1.315837425
0.47	39.59988495	0.160538745	1.7	0.12	1.315837425
0.5	47.74596174	0.227378023	1.7	0.17	1.315837425
0.44	134.5339432	1.145023306	1.7	0.87	1.315837425
0.53	65.29003523	0.395961798	1.7	0.3	1.315837425
0.41	62.15801932	0.309849449	1.7	0.24	1.315837425
0.19	120.6684665	0.690640958	1.7	0.52	1.315837425
0.34	91.22978716	0.529261392	1.7	0.4	1.315837425
0.23	48.6870109	0.16386255	1.7	0.12	1.315837425
0.08	36.76444166	0.087595687	1.8	0.07	1.335503683
0.12	65.40698286	0.235982165	1.8	0.18	1.335503683
0.12	34.46263085	0.082510089	1.8	0.06	1.335503683
0.11	105.0868473	0.507591562	1.8	0.38	1.335503683
0.22	49.69477923	0.169842681	1.8	0.13	1.335503683
0.16	69.08199691	0.270722623	1.8	0.2	1.335503683
0.07	36.72389986	0.086453831	1.8	0.06	1.335503683
0.42	93.3769121	0.621357779	1.8	0.47	1.335503683
0.18	20.62148279	0.038196741	1.8	0.03	1.335503683
0.65	58.23603734	0.393739873	1.8	0.29	1.335503683
0.35	93.17759056	0.56354516	1.8	0.42	1.335503683
0.21	63.79447513	0.252641238	1.8	0.19	1.335503683
0.1	28.33955403	0.058487048	1.8	0.04	1.335503683
0.49	137.7743347	1.294149811	1.8	0.97	1.335503683
0.66	141.179874	1.731376236	1.9	1.28	1.355348381
0.31	123.9851743	0.866643639	1.9	0.64	1.355348381
0.19	75.73685351	0.331398943	1.9	0.24	1.355348381
0.1	81.06604805	0.33268788	1.9	0.25	1.355348381
0.36	137.0377853	1.10741124	2	0.81	1.375590949
0.32	44.87286803	0.168310431	2	0.12	1.375590949
0.41	54.89405574	0.264194622	2	0.19	1.375590949
0.28	71.96827716	0.346648919	2	0.25	1.375590949
0.48	63.59623879	0.370035341	2	0.27	1.375590949
0.14	68.68405011	0.269663972	2	0.2	1.375590949
0.19	72.4924997	0.313044608	2	0.23	1.375590949
0.3	72.13017471	0.357093781	2	0.26	1.375590949
0.33	89.56592386	0.529784093	2	0.39	1.375590949
0.44	60.9577397	0.326786761	2	0.24	1.375590949
0.33	43.17850874	0.162514895	2.1	0.12	1.396236048
0.3	55.14283485	0.233336176	2.1	0.17	1.396236048
0.15	86.32402815	0.402997007	2.1	0.29	1.396236048
0.25	99.82405423	0.578960447	2.1	0.41	1.396236048
0.49	215.7111321	2.82236551	2.1	2.02	1.396236048
0.93	47.09275958	0.428518805	2.1	0.31	1.396236048
0.27	183.6953674	1.614956425	2.1	1.16	1.396236048
0.23	70.10113291	0.316131577	2.1	0.23	1.396236048
0.28	50.6762902	0.197937403	2.1	0.14	1.396236048
0.41	139.0209366	1.230902153	2.1	0.88	1.396236048
0.11	51.95927841	0.167176927	2.1	0.12	1.396236048
0.2	83.70498773	0.407268093	2.1	0.29	1.396236048
0.37	146.1994936	1.285957812	2.2	0.91	1.41744575
0.76	85.08739939	0.907382149	2.2	0.64	1.41744575
0.34	75.15082816	0.414841013	2.2	0.29	1.41744575
0.29	54.80486697	0.231468891	2.2	0.16	1.41744575
0.44	79.08056431	0.516022543	2.2	0.36	1.41744575
0.44	87.67951456	0.620553812	2.3	0.43	1.439125543
1.19	371.5963093	18.52298486	2.3	12.87	1.439125543
0.43	116.0225083	0.969074041	2.3	0.67	1.439125543
0.08	13.84643447	0.019029557	2.3	0.01	1.439125543
0.32	155.8532673	1.356816197	2.3	0.94	1.439125543
0.46	85.66905181	0.613951104	2.3	0.43	1.439125543
0.34	96.02916234	0.629627499	2.3	0.44	1.439125543
0.24	154.4360742	1.205214395	2.3	0.84	1.439125543
0.17	23.35151848	0.049857065	2.3	0.03	1.439125543
0.2	39.58075877	0.122908517	2.3	0.09	1.439125543
0.29	94.56519969	0.57493785	2.3	0.4	1.439125543
0.52	127.1097156	1.273626106	2.3	0.89	1.439125543
0.2	66.7150568	0.289357777	2.3	0.2	1.439125543
0.27	78.61556158	0.420085094	2.4	0.29	1.460906392
0.22	144.1860104	1.065880225	2.4	0.73	1.460906392
0.33	76.96121772	0.438736486	2.4	0.3	1.460906392
0.47	164.1502147	1.835599663	2.4	1.26	1.460906392
0.59	181.0019241	2.544066218	2.4	1.74	1.460906392
0.65	188.7227632	2.962265282	2.4	2.03	1.460906392
0.83	94.01407051	1.213935784	2.4	0.83	1.460906392
0.37	117.0681755	0.934397184	2.5	0.63	1.48280061
0.88	192.6925207	4.283514402	2.5	2.89	1.48280061
0.33	147.1969321	1.289828939	2.5	0.87	1.48280061
0.64	81.54505057	0.748793549	2.5	0.5	1.48280061
0.22	74.55441404	0.366767765	2.5	0.25	1.48280061
0.37	102.9966574	0.757393792	2.5	0.51	1.48280061
0.3	97.14359538	0.627224658	2.5	0.42	1.48280061
0.13	90.58838293	0.452285325	2.5	0.31	1.48280061
0.45	103.6021768	0.852211477	2.5	0.57	1.48280061
0.19	119.3738989	0.764628377	2.5	0.52	1.48280061
0.24	235.5232385	2.481051637	2.5	1.67	1.48280061
0.27	72.59457323	0.37415063	2.5	0.25	1.48280061
0.14	133.2579871	0.861925304	2.5	0.58	1.48280061
0.42	41.11079683	0.179669467	2.5	0.12	1.48280061
0.25	178.9347063	1.624946017	2.6	1.08	1.504788644
0.16	54.92416612	0.209415416	2.6	0.14	1.504788644
0.33	100.1377805	0.695907566	2.6	0.46	1.504788644
0.43	106.6403916	0.882421604	2.6	0.59	1.504788644
0.21	297.9587743	3.565386022	2.6	2.37	1.504788644
0.48	89.99512405	0.71535395	2.6	0.48	1.504788644
0.17	17.79742226	0.033392765	2.6	0.02	1.504788644
