0.9720	649.7389	1.852120842
0.8700	879.5581	3.500132034
0.7980	752.4242	2.993519433
0.7682	755.92384	3.14400568
0.7361	742.1233	3.190026017
0.7243	576.97277	2.14606582
0.7200	750.0843	3.319968947
0.7050	830.366	4.005401999
0.7023	561.51657	2.116447248
0.7000	730.3758	3.268067673
0.6900	621.18053	2.541060447
0.6770	853.9991	4.361246455
0.6752	546.4155	2.102082314
0.6600	696.789	3.199007499
0.6509	796.84815	4.037449073
0.6400	678.28355	3.147527458
0.6400	892.3811	4.935800723
0.6305	658.33154	3.037122558
0.6200	782.1417	4.088494289
0.6200	539.68897	2.224798492
0.6200	594.2666	2.60558137
0.6200	759.54676	3.896589695
0.6110	793.62855	4.240322446
0.6100	752.51875	3.89153119
0.6100	554.8163	2.360678307
0.6090	498.7198	1.984826172
0.6000	613.251	2.821063315
0.5870	699.03502	3.560650945
0.5840	751.1548	4.023106543
0.5800	628.9952	3.023883556
0.5757	748.38533	4.045271296
0.5748	878.25365	5.265780841
0.5710	645.2731	3.193016766
0.5700	745.25642	4.049553775
0.5699	739.18085	3.99610912
0.5668	469.8992	1.909176272
0.5600	624.2501	3.070798468
0.5593	646.8518	3.258407925
0.5586	705.06473	3.756674193
0.5581	659.2955	3.36744927
0.5534	652.34604	3.331169225
0.5503	659.52883	3.406101746
0.5500	808.7599	4.761230887
0.5500	566.95747	2.658997152
0.5500	701.19324	3.76763605
0.5460	1123.7511	8.211172829
0.5456	867.489	5.374030872
0.5450	855.1473	5.253586927
0.5400	941.6558	6.195895953
0.5392	555.60703	2.611089759
0.5377	721.9784	4.020551745
0.5344	699.2134	3.832238477
0.5340	677.18077	3.638229341
0.5328	659.656	3.490958008
0.5300	582.33323	2.856416494
0.5271	654.9685	3.47765008
0.5200	644.05866	3.416566313
0.5200	767.8585	4.558409328
0.5200	563.25483	2.742257514
0.5131	814.9245	5.073742478
0.5123	645.4108	3.465034218
0.5049	639.3285	3.44669424
0.5027	846.0757	5.473753816
0.5000	627.51102	3.36551211
0.5000	573.3103	2.902092914
0.4961	630.9299	3.41394947
0.4947	743.6841	4.479039008
0.4881	545.53757	2.719366398
0.4850	797.11413	5.086537904
0.4846	676.29385	3.886778993
0.4800	630.79524	3.489256737
0.4800	756.52895	4.700995575
0.4800	600.66605	3.220135884
0.4780	522.936	2.57256135
0.4735	474.8413	2.20970886
0.4725	625.42367	3.476305052
0.4709	817.9089	5.409812514
0.4700	796.2011	5.18274736
0.4700	636.6344	3.591389079
0.4700	609.0916	3.340120782
0.4700	619.0544	3.430188188
0.4700	508.06804	2.480816081
0.4674	629.6163	3.539295761
0.4600	635.79936	3.633150742
0.4600	1034.0772	8.06687513
0.4600	429.039	1.906045139
0.4590	755.26743	4.825237188
0.4561	680.96356	4.087721186
0.4530	468.38803	2.22225624
0.4530	568.742	3.055355406
0.4516	1060.7725	8.508497292
0.4500	525.5818	2.695459103
0.4500	664.6458	3.961235473
0.4500	638.05785	3.704700615
0.4500	607.1339	3.414830701
0.4474	688.68937	4.213902257
0.4470	1007.394	7.867023557
0.4460	648.72866	3.827721533
0.4430	1170.0458	10.11087959
0.4414	1031.9769	8.247143143
0.4400	576.2184	3.177439883
0.4380	833.2781	5.834381707
0.4368	443.8211	2.079844987
0.4362	733.6488	4.746416614
0.4333	609.28807	3.513910921
0.4300	668.4652	4.109249712
0.4300	938.6741	7.170635152
0.4300	517.21773	2.698097744
0.4290	691.8445	4.353498168
0.4274	611.6051	3.564368349
0.4260	644.3735	3.890297504
0.4255	585.62174	3.328009339
0.4250	668.8705	4.141413248
0.4230	689.6449	4.366306685
0.4210	759.84325	5.132582368
0.4200	689.6099	4.383773909
0.4200	589.75854	3.391908896
0.4200	657.8945	4.058024711
0.4200	569.24434	3.200577373
0.4152	613.0005	3.637504793
0.4150	547.99795	3.027492559
0.4130	585.37626	3.382649961
0.4125	622.0174	3.739331871
0.4120	781.9568	5.445928264
0.4116	708.34155	4.633312261
0.4100	767.0482	5.291006545
0.4100	676.7397	4.308446037
0.4100	757.6193	5.184762089
0.4096	522.8538	2.823632056
0.4050	687.5579	4.452009525
0.4044	714.8824	4.749699484
0.4030	583.1006	3.406928372
0.4000	539.1661	3.008359622
0.4000	562.3702	3.223601088
0.4000	619.8896	3.781814799
0.4000	621.007	3.793001159
0.3976	599.3985	3.590593138
0.3970	920.14065	7.257470035
0.3967	615.0194	3.749884349
0.3939	590.40785	3.520226118
0.3939	655.07	4.174389067
0.3928	535.61687	3.005012753
0.3920	511.0497	2.78530872
0.3919	592.4142	3.549425742
0.3917	679.77667	4.448873832
0.3900	605.39236	3.687270541
0.3900	546.93713	3.121632524
0.3900	856.675	6.516026198
0.3900	1388.6364	14.38830525
0.3900	732.85985	5.044274976
0.3892	738.16195	5.109768344
0.3890	794.50526	5.766445766
0.3870	604.18906	3.690138108
0.3851	628.15704	3.943421968
0.3826	821.9859	6.149892417
0.3815	646.53153	4.154313498
0.3805	557.9825	3.267183432
0.3800	746.0709	5.26461823
0.3800	632.4067	4.014594784
0.3800	493.681	2.674604896
0.3780	739.60876	5.204001716
0.3757	593.22615	3.635669239
0.3740	622.3933	3.942498451
0.3732	650.00954	4.237983871
0.3730	762.63914	5.509227371
0.3700	650.676	4.263354896
0.3700	722.1583	5.058134591
0.3690	680.8672	4.598722223
0.3660	695.87555	4.785312139
0.3630	478.88255	2.603011385
0.3615	638.24253	4.177798359
0.3612	602.4685	3.802219719
0.3605	554.8802	3.325351881
0.3600	605.69167	3.841788354
0.3575	567.4767	3.4638937
